id,user_id,rating,review,sentiment_label,label
1,461,3,well spacious court and proper lighting setup at night session,Positive,1
2,301,2,to be honest facilities were not clean at all but during our regular game,Negative,0
3,197,3,frankly speaking spacious court and proper lighting setup at night session,Positive,1
4,152,5,overall very professional staff and management during our match time,Positive,1
5,443,3,to be honest facilities were outdated and not maintained we played in the evening,Negative,0
6,427,4,actually the court was spacious and well maintained providing ample room for players to enjoy their game without feeling cramped or overcrowded we played in the evening,Positive,1
7,318,1,to be honest not satisfied with the overall experience during our match time,Negative,0
8,404,4,the best place to play futsal in town but staff was rude and unhelpful while playing with friends,Positive,1
9,383,4,from what i saw the turf was in excellent condition and very safe but poor lighting and ventilation on a rainy day,Positive,1
10,272,4,from my experience the booking process was seamless and efficient making it easy to reserve a court while playing with friends,Positive,1
11,496,2,to be honest too much delay in booking confirmation while playing with friends,Negative,0
12,387,3,actually the booking process was seamless and efficient making it easy to reserve a court but overpriced for such poor quality on a rainy day,Positive,1
13,188,5,well during peak hours,Positive,1
15,482,3,based on my visit too much delay in booking confirmation on a rainy day,Negative,0
16,168,3,well the court was overcrowded and chaotic but the price was reasonable for the quality of the facilities and the overall experience provided making it a great value for money during our match time,Negative,0
17,155,5,from my experience the best place to play futsal in town during weekend booking,Positive,1
18,253,4,overall loved the turf and lighting setup while playing with friends,Positive,1
19,70,3,not satisfied,Negative,0
20,80,5,in my opinion affordable price with great quality during our regular game,Positive,1
21,17,2,well had to wait for a long time to get the court ready during weekend booking,Negative,0
22,51,4,from my experience spacious court and proper lighting setup while trying out the new turf,Positive,1
23,496,1,in my opinion not satisfied with the overall experience but booking system was fast and easy during our regular game,Negative,0
24,340,3,never again,Positive,1
25,65,3,well great futsal court with excellent facilities but the worst futsal court i ve ever been to while testing the lighting,Positive,1
26,169,1,from my experience not worth the price during weekend booking,Negative,0
27,67,1,court was dirty and poorly maintained while testing the lighting,Negative,0
28,68,1,booking system was confusing while playing with friends,Negative,0
29,166,3,not satisfied,Negative,0
30,65,3,worth it,Positive,1
31,263,2,as a regular player overpriced for such poor quality during weekend booking,Negative,0
32,373,3,based on my visit the surface quality was very good during our regular game,Positive,1
33,32,3,well everything was well organized and managed during our regular game,Positive,1
34,38,2,frankly speaking very disappointing experience during peak hours,Negative,0
35,325,5,in my opinion friendly staff and smooth booking process but unhygienic changing rooms while testing the lighting,Positive,1
36,151,3,actually staff was not responsive to issues on a rainy day,Negative,0
37,437,1,from what i saw very disappointing experience during peak hours,Negative,0
38,232,4,the turf was in excellent condition and very safe during our regular game,Positive,1
39,374,4,frankly speaking the overall management of the facility was top notch ensuring a smooth and enjoyable experience for all players on a rainy day,Positive,1
40,341,2,will come again,Negative,0
41,222,1,personally overpriced for such poor quality but very clean and well maintained ground while trying out the new turf,Negative,0
42,285,1,loved it,Negative,0
44,27,3,frankly speaking the environment was not welcoming at all on a rainy day,Negative,0
45,80,3,from what i saw the ground condition was perfect for playing but the turf was uneven and caused injuries at night session,Positive,1
46,59,2,from my experience not satisfied with the overall experience during weekend booking,Negative,0
47,315,3,from what i saw the environment was not welcoming at all during our match time,Negative,0
48,391,3,as a regular player unhygienic changing rooms but booking system was fast and easy we played in the evening,Negative,0
49,337,5,in my opinion great futsal court with excellent facilities but ground condition was not good on a rainy day,Positive,1
50,193,1,personally the turf was damaged and unsafe we played in the evening,Negative,0
51,398,2,in my opinion the ground was slippery and dangerous while playing with friends,Negative,0
52,26,3,from what i saw lighting was not good but the lighting was perfect for night games and well distributed during weekend booking,Negative,0
53,213,2,to be honest the environment was not welcoming at all while trying out the new turf,Negative,0
54,146,3,amazing experience will come again during our regular game,Positive,1
55,113,3,from what i saw highly recommended for futsal lovers while trying out the new turf,Positive,1
56,393,3,from what i saw great futsal court with excellent facilities we played in the evening,Positive,1
57,168,2,worth it,Negative,0
60,22,3,as a regular player overpriced for such poor quality on a rainy day,Negative,0
61,208,3,based on my visit terrible experience will never come back during weekend booking,Negative,0
62,88,2,frankly speaking booking system was confusing at night session,Negative,0
63,125,1,from what i saw the ground was slippery and dangerous but the environment was welcoming and created a great atmosphere for playing futsal making it a favorite spot for many players while trying out the new turf,Negative,0
64,382,4,frankly speaking very clean and well maintained ground during our regular game,Positive,1
65,272,1,in my opinion overpriced for such poor quality while playing with friends,Negative,0
66,418,5,the ground condition was perfect for playing on a rainy day,Positive,1
67,132,1,bad lighting but ground ok,Negative,0
68,390,3,not good,Positive,1
69,238,4,overall while playing with friends,Positive,1
70,330,5,spacious court and proper lighting setup while testing the lighting,Positive,1
71,227,2,from what i saw terrible experience will never come back but very clean and well maintained ground on a rainy day,Negative,0
72,159,1,lighting was not good at night session,Negative,0
73,331,3,honestly the ground condition was perfect for playing we played in the evening,Positive,1
74,298,4,overall worth the money and time while testing the lighting,Positive,1
75,334,3,very unprofessional management and staff we played in the evening,Negative,0
76,257,4,not good,Positive,1
77,53,4,ok futsal not bad,Positive,1
78,127,1,in my opinion the turf was uneven and caused injuries during weekend booking,Negative,0
79,191,2,based on my visit the lighting was dim and insufficient during our regular game,Negative,0
80,405,1,frankly speaking the worst futsal court i ve ever been to during peak hours,Negative,0
81,130,4,in my opinion nice environment and good vibes overall but staff was not responsive to issues during weekend booking,Positive,1
82,340,5,well the environment was welcoming and created a great atmosphere for playing futsal making it a favorite spot for many players but the turf was damaged and unsafe while testing the lighting,Positive,1
83,496,4,loved it,Positive,1
84,159,3,well friendly staff and smooth booking process during peak hours,Positive,1
85,351,3,well too crowded and not managed properly on a rainy day,Negative,0
86,159,4,overall highly recommended for futsal lovers during peak hours,Positive,1
87,486,2,too costly yrr,Negative,0
88,260,1,from my experience too crowded and not managed properly but everything was well organized and managed during our match time,Negative,0
89,68,3,actually staff was rude and unhelpful during our regular game,Negative,0
90,415,3,personally waste of money and time while playing with friends,Negative,0
91,369,5,actually loved the turf and lighting setup while trying out the new turf,Positive,1
92,120,4,based on my visit everything was well organized and managed while testing the lighting,Positive,1
93,226,3,to be honest very poor management system while trying out the new turf,Negative,0
94,419,1,to be honest the turf was uneven and caused injuries during peak hours,Negative,0
95,447,3,not good,Positive,1
96,365,3,well the environment was welcoming and created a great atmosphere for playing futsal making it a favorite spot for many players while trying out the new turf,Positive,1
97,231,2,overall the turf was damaged and unsafe at night session,Negative,0
98,419,1,personally the turf was damaged and unsafe during peak hours,Negative,0
99,121,2,in my opinion had a very bad time playing here but highly recommended for futsal lovers we played in the evening,Negative,0
100,430,1,overall bad experience with staff behavior but the court was spacious and well maintained providing ample room for players to enjoy their game without feeling cramped or overcrowded on a rainy day,Negative,0
101,357,2,in my opinion too crowded and not managed properly but the court was spacious and well maintained providing ample room for players to enjoy their game without feeling cramped or overcrowded while playing with friends,Negative,0
102,10,3,spacious court and proper lighting setup while trying out the new turf,Positive,1
103,217,5,personally during our regular game,Positive,1
104,155,3,meh experience,Positive,1
105,328,2,not satisfied,Negative,0
106,306,4,based on my visit amazing experience will come again during weekend booking,Positive,1
107,220,2,well the court was not ready on time during our regular game,Negative,0
108,293,1,loved it,Negative,0
109,489,3,well highly recommended for futsal lovers during weekend booking,Positive,1
110,326,3,as a regular player very comfortable and enjoyable experience but the court was overcrowded and chaotic during our regular game,Positive,1
111,177,1,in my opinion very bad experience overall at night session,Negative,0
112,174,3,well the worst futsal court i ve ever been to but the ground condition was perfect for playing during weekend booking,Negative,0
113,33,1,personally the court was overcrowded and chaotic while trying out the new turf,Negative,0
114,454,1,based on my visit poor lighting and ventilation we played in the evening,Negative,0
115,204,3,meh experience,Negative,0
116,183,4,as a regular player booking system was fast and easy but very poor management system while trying out the new turf,Positive,1
117,456,4,honestly booking system was fast and easy but the ground was slippery and dangerous on a rainy day,Positive,1
118,355,4,based on my visit nice environment and good vibes overall during peak hours,Positive,1
119,218,3,unhygienic changing rooms during our regular game,Negative,0
120,280,1,not good,Negative,0
121,229,4,overall nice environment and good vibes overall during weekend booking,Positive,1
122,22,4,frankly speaking the staff was very helpful and friendly while playing with friends,Positive,1
123,39,1,in my opinion the environment was not welcoming at all while testing the lighting,Negative,0
124,82,5,frankly speaking highly recommended for futsal lovers on a rainy day,Positive,1
125,399,1,personally very unprofessional management and staff but very clean and well maintained ground while testing the lighting,Negative,0
126,231,3,in my opinion staff was rude and unhelpful during peak hours,Negative,0
127,188,5,in my opinion the lighting was perfect for night games and well distributed but too crowded and not managed properly while trying out the new turf,Positive,1
128,377,1,well the court was not ready on time at night session,Negative,0
130,147,5,to be honest the staff was very helpful and friendly at night session,Positive,1
131,89,4,based on my visit amazing experience will come again but overpriced for such poor quality during our match time,Positive,1
132,34,3,based on my visit terrible experience will never come back during weekend booking,Negative,0
133,327,3,to be honest facilities were not clean at all at night session,Negative,0
134,115,3,loved it,Negative,0
135,122,3,too costly yrr,Positive,1
136,67,3,honestly the ground was slippery and dangerous on a rainy day,Negative,0
137,369,5,overall everything was well organized and managed during weekend booking,Positive,1
138,498,3,frankly speaking the overall management of the facility was top notch ensuring a smooth and enjoyable experience for all players during peak hours,Positive,1
139,66,4,overall spacious court and proper lighting setup while trying out the new turf,Positive,1
140,222,3,the best place to play futsal in town during our regular game,Positive,1
141,166,1,honestly the lighting was dim and insufficient but one of the best futsal courts in the area during weekend booking,Negative,0
142,434,4,from my experience on a rainy day,Positive,1
143,490,3,too costly yrr,Negative,0
144,304,1,personally the staff was not helpful when we had issues but the best place to play futsal in town at night session,Negative,0
145,22,3,personally the worst futsal court i ve ever been to while playing with friends,Negative,0
146,136,3,honestly staff was rude and unhelpful during weekend booking,Negative,0
147,255,1,had a very bad time playing here while testing the lighting,Negative,0
148,126,4,as a regular player the best place to play futsal in town at night session,Positive,1
149,31,5,well everything was well organized and managed during peak hours,Positive,1
150,238,2,will come again,Negative,0
151,376,4,from what i saw nice environment and good vibes overall while playing with friends,Positive,1
152,288,3,in my opinion too crowded and not managed properly during peak hours,Negative,0
153,63,2,not satisfied,Negative,0
154,215,5,from my experience amazing experience will come again but staff was not responsive to issues while playing with friends,Positive,1
155,264,2,personally terrible experience will never come back but one of the best futsal courts in the area on a rainy day,Negative,0
156,235,5,to be honest great futsal court with excellent facilities but facilities were outdated and not maintained while trying out the new turf,Positive,1
157,306,4,from my experience the ground condition was perfect for playing but poor lighting and ventilation while testing the lighting,Positive,1
158,221,3,well everything was well organized and managed while trying out the new turf,Positive,1
159,188,3,worth it,Negative,0
160,284,4,in my opinion very professional staff and management but very poor management system we played in the evening,Positive,1
161,423,2,frankly speaking very unprofessional management and staff during our regular game,Negative,0
162,192,4,well amazing experience will come again but very disappointing experience while testing the lighting,Positive,1
163,102,3,in my opinion during our regular game,Positive,1
164,171,5,frankly speaking loved the turf and lighting setup but too crowded and not managed properly during our regular game,Positive,1
165,72,3,as a regular player ground condition was not good while trying out the new turf,Negative,0
166,379,3,from what i saw facilities were not clean at all on a rainy day,Negative,0
167,251,3,from what i saw the turf was uneven and caused injuries on a rainy day,Negative,0
168,57,5,to be honest the overall management of the facility was top notch ensuring a smooth and enjoyable experience for all players but the worst futsal court i ve ever been to while trying out the new turf,Positive,1
169,496,2,from what i saw very bad experience overall at night session,Negative,0
170,299,3,good maintenance and clean surroundings while testing the lighting,Positive,1
171,421,3,as a regular player the lighting was perfect for night games and well distributed while testing the lighting,Positive,1
172,215,2,honestly booking system was confusing but spacious court and proper lighting setup while testing the lighting,Negative,0
173,257,2,too costly yrr,Negative,0
174,167,3,based on my visit too crowded and not managed properly we played in the evening,Negative,0
175,236,1,based on my visit staff was not responsive to issues during our regular game,Negative,0
176,349,5,in my opinion the ground condition was perfect for playing during our regular game,Positive,1
177,143,3,actually worth the money and time at night session,Positive,1
178,361,3,from my experience poor lighting and ventilation at night session,Negative,0
179,141,5,based on my visit very comfortable and enjoyable experience on a rainy day,Positive,1
180,420,2,from what i saw staff was not responsive to issues during our regular game,Negative,0
181,474,4,everything was well organized and managed but the turf was damaged and unsafe while playing with friends,Positive,1
182,139,3,to be honest not worth the price while trying out the new turf,Negative,0
183,26,3,actually friendly staff and smooth booking process but the court was not ready on time at night session,Positive,1
184,368,2,as a regular player bad experience with staff behavior but affordable price with great quality during our match time,Negative,0
185,209,1,well court was dirty and poorly maintained while playing with friends,Negative,0
186,147,4,based on my visit the best place to play futsal in town but poor lighting and ventilation while trying out the new turf,Positive,1
187,436,3,bad experience with staff behavior during weekend booking,Negative,0
188,429,1,personally waste of money and time during peak hours,Negative,0
189,449,4,based on my visit the court was spacious and well maintained providing ample room for players to enjoy their game without feeling cramped or overcrowded while playing with friends,Positive,1
190,309,3,meh experience,Negative,0
191,233,4,could be better,Positive,1
192,436,3,as a regular player had a great time playing here during our regular game,Positive,1
193,235,5,to be honest the booking process was seamless and efficient making it easy to reserve a court but facilities were not clean at all during our match time,Positive,1
