id,user_id,rating,review,sentiment_label
1,461,3,Well Spacious court and proper lighting setup at night session,Positive
2,301,2,To be honest Facilities were not clean at all but  during our regular game,Negative
3,197,3,Frankly speaking Spacious court and proper lighting setup at night session,Positive
4,152,5,Overall Very professional staff and management during our match time,Positive
5,443,3,To be honest Facilities were outdated and not maintained we played in the evening,Negative
6,427,4,"Actually The court was spacious and well-maintained, providing ample room for players to enjoy their game without feeling cramped or overcrowded we played in the evening",Positive
7,318,1,To be honest Not satisfied with the overall experience during our match time,Negative
8,404,4, The best place to play futsal in town but staff was rude and unhelpful while playing with friends,Positive
9,383,4,From what I saw The turf was in excellent condition and very safe but poor lighting and ventilation on a rainy day,Positive
10,272,4,"From my experience The booking process was seamless and efficient, making it easy to reserve a court while playing with friends",Positive
11,496,2,To be honest Too much delay in booking confirmation while playing with friends,Negative
12,387,3,"Actually The booking process was seamless and efficient, making it easy to reserve a court but overpriced for such poor quality on a rainy day",Positive
13,188,5,Well during peak hours,Positive
14,136,1,horrible,Negative
15,482,3,Based on my visit Too much delay in booking confirmation on a rainy day,Negative
16,168,3,"Well The court was overcrowded and chaotic but the price was reasonable for the quality of the facilities and the overall experience provided, making it a great value for money during our match time",Negative
17,155,5,From my experience The best place to play futsal in town during weekend booking,Positive
18,253,4,Overall Loved the turf and lighting setup while playing with friends,Positive
19,70,3,not satisfied,Negative
20,80,5,In my opinion Affordable price with great quality during our regular game,Positive
21,17,2,Well Had to wait for a long time to get the court ready during weekend booking,Negative
22,51,4,From my experience Spacious court and proper lighting setup while trying out the new turf,Positive
23,496,1,In my opinion Not satisfied with the overall experience but booking system was fast and easy during our regular game,Negative
24,340,3,never again,Positive
25,65,3,Well Great futsal court with excellent facilities but the worst futsal court i've ever been to while testing the lighting,Positive
26,169,1,From my experience Not worth the price during weekend booking,Negative
27,67,1,Court was dirty and poorly maintained while testing the lighting,Negative
28,68,1,Booking system was confusing while playing with friends,Negative
29,166,3,not satisfied,Negative
30,65,3,worth it,Positive
31,263,2,As a regular player Overpriced for such poor quality during weekend booking,Negative
32,373,3,Based on my visit The surface quality was very good during our regular game,Positive
33,32,3,Well Everything was well organized and managed during our regular game,Positive
34,38,2,Frankly speaking Very disappointing experience during peak hours,Negative
35,325,5,In my opinion Friendly staff and smooth booking process but unhygienic changing rooms while testing the lighting,Positive
36,151,3,Actually Staff was not responsive to issues on a rainy day,Negative
37,437,1,From what I saw Very disappointing experience during peak hours,Negative
38,232,4,The turf was in excellent condition and very safe during our regular game,Positive
39,374,4,"Frankly speaking The overall management of the facility was top-notch, ensuring a smooth and enjoyable experience for all players on a rainy day",Positive
40,341,2,will come again,Negative
41,222,1,Personally Overpriced for such poor quality but very clean and well maintained ground while trying out the new turf,Negative
42,285,1,loved it,Negative
43,169,3,ok,Negative
44,27,3,Frankly speaking The environment was not welcoming at all on a rainy day,Negative
45,80,3,From what I saw The ground condition was perfect for playing but the turf was uneven and caused injuries at night session,Positive
46,59,2,From my experience Not satisfied with the overall experience during weekend booking,Negative
47,315,3,From what I saw The environment was not welcoming at all during our match time,Negative
48,391,3,As a regular player Unhygienic changing rooms but booking system was fast and easy we played in the evening,Negative
49,337,5,In my opinion Great futsal court with excellent facilities but ground condition was not good on a rainy day,Positive
50,193,1,Personally The turf was damaged and unsafe we played in the evening,Negative
51,398,2,In my opinion The ground was slippery and dangerous while playing with friends,Negative
52,26,3,From what I saw Lighting was not good but the lighting was perfect for night games and well-distributed during weekend booking,Negative
53,213,2,To be honest The environment was not welcoming at all while trying out the new turf,Negative
54,146,3,"Amazing experience, will come again during our regular game",Positive
55,113,3,From what I saw Highly recommended for futsal lovers while trying out the new turf,Positive
56,393,3,From what I saw Great futsal court with excellent facilities we played in the evening,Positive
57,168,2,worth it,Negative
58,221,5,good,Positive
59,361,5,horrible,Positive
60,22,3,As a regular player Overpriced for such poor quality on a rainy day,Negative
61,208,3,"Based on my visit Terrible experience, will never come back during weekend booking",Negative
62,88,2,Frankly speaking Booking system was confusing at night session,Negative
63,125,1,"From what I saw The ground was slippery and dangerous but the environment was welcoming and created a great atmosphere for playing futsal, making it a favorite spot for many players while trying out the new turf",Negative
64,382,4,Frankly speaking Very clean and well maintained ground during our regular game,Positive
65,272,1,In my opinion Overpriced for such poor quality while playing with friends,Negative
66,418,5,The ground condition was perfect for playing on a rainy day,Positive
67,132,1,bad lighting but ground ok,Negative
68,390,3,not good,Positive
69,238,4,Overall while playing with friends,Positive
70,330,5,Spacious court and proper lighting setup while testing the lighting,Positive
71,227,2,"From what I saw Terrible experience, will never come back but very clean and well maintained ground on a rainy day",Negative
72,159,1,Lighting was not good at night session,Negative
73,331,3,Honestly The ground condition was perfect for playing we played in the evening,Positive
74,298,4,Overall Worth the money and time while testing the lighting,Positive
75,334,3,Very unprofessional management and staff we played in the evening,Negative
76,257,4,not good,Positive
77,53,4,ok futsal not bad,Positive
78,127,1,In my opinion The turf was uneven and caused injuries during weekend booking,Negative
79,191,2,Based on my visit The lighting was dim and insufficient during our regular game,Negative
80,405,1,Frankly speaking The worst futsal court I've ever been to during peak hours,Negative
81,130,4,In my opinion Nice environment and good vibes overall but staff was not responsive to issues during weekend booking,Positive
82,340,5,"Well The environment was welcoming and created a great atmosphere for playing futsal, making it a favorite spot for many players but the turf was damaged and unsafe while testing the lighting",Positive
83,496,4,loved it,Positive
