id,user_id,rating,review,sentiment_label
1,U0231,2,"From our experience, The court was double booked and we had to wait for hours. Our session timing was not managed properly.",Negative
2,U0017,2,"In my opinion, Terrible experience, the court surface was very slippery. Changing rooms and wash areas were not properly cleaned.",Negative
3,U0037,2,"In my opinion, Poor experience overall, management needs improvement. We faced issues during check-in and support was slow.",Negative
4,U0218,1,"Overall, Lights were not working properly during our session. Our session timing was not managed properly.",Negative
5,U0137,4,"Honestly, Smooth booking process and an amazing playing experience. Booked for an evening game and everything was ready on time.",Positive
6,U0158,4,"In my opinion, Perfect futsal court, smooth surface and great atmosphere. Staff guided us well before and after the match.",Positive
7,U0064,5,"From our experience, Top notch futsal facility with very reasonable pricing. Warm-up area and changing rooms were clean and organized.",Positive
8,U0257,2,"From our experience, Disappointed with the facilities, not worth the price at all. The playing surface felt unsafe for fast movements.",Negative
9,U0021,4,"Personally, Booking was easy and the experience was fantastic. Warm-up area and changing rooms were clean and organized.",Positive
10,U0014,2,"Personally, Overpriced for the poor quality of the court offered. We faced issues during check-in and support was slow.",Negative
11,U0138,4,"Overall, Loved the overall experience, clean courts and great staff. Booked for an evening game and everything was ready on time.",Positive
12,U0266,2,"In my opinion, Would not recommend this futsal center to anyone. The playing surface felt unsafe for fast movements.",Negative
13,U0300,4,"Honestly, Booking was easy and the experience was fantastic. Online booking confirmation was quick and accurate.",Positive
14,U0179,2,"In my opinion, Staff was very unprofessional and unhelpful throughout. Changing rooms and wash areas were not properly cleaned.",Negative
15,U0083,1,"From our experience, The court was too small and the pricing was too high. The playing surface felt unsafe for fast movements.",Negative
16,U0206,2,"Honestly, Terrible experience, the staff was rude and unprofessional. Our session timing was not managed properly.",Negative
17,U0046,2,"In my opinion, The court was too small and the pricing was too high. Changing rooms and wash areas were not properly cleaned.",Negative
18,U0207,4,"Personally, Very organized management and excellent playing surface. Booked for an evening game and everything was ready on time.",Positive
19,U0212,2,"Personally, Booking process was confusing and staff was rude. We faced issues during check-in and support was slow.",Negative
20,U0256,5,"Honestly, Highly satisfied with the booking and playing experience. Online booking confirmation was quick and accurate.",Positive
21,U0137,4,"In my opinion, Outstanding facilities, the best futsal court in the area. Played with friends on the weekend and everyone enjoyed it.",Positive
22,U0249,2,"Personally, Lights were not working properly during our session. Booked in advance but had to wait too long.",Negative
23,U0082,4,"Honestly, Loved the ambiance and the quality of the court surface. Staff guided us well before and after the match.",Positive
24,U0048,5,"From our experience, The staff was very cooperative and the court was in perfect condition. Booked for an evening game and everything was ready on time.",Positive
25,U0079,1,"Personally, Terrible court condition and very poor customer service. Changing rooms and wash areas were not properly cleaned.",Negative
